name,link,year,employees,avg,median
Fairfax County Public Schools,https://govsalaries.com/salaries/VA/fairfax-county-public-schools?year=2020,2020,27690,65616,65616
University of Virginia,https://govsalaries.com/salaries/VA/university-of-virginia?year=2020,2020,18506,76113,76113
Fairfax County,https://govsalaries.com/salaries/VA/fairfax-county?year=2020,2020,12548,76615,76615
Loudoun County Public Schools,https://govsalaries.com/salaries/VA/loudoun-county-public-schools?year=2020,2020,12474,62894,62894
Virginia Beach City Public Schools,https://govsalaries.com/salaries/VA/virginia-beach-city-public-schools?year=2020,2020,10318,46684,46684
Virginia Tech,https://govsalaries.com/salaries/VA/virginia-tech?year=2020,2020,8134,75105,75105
George Mason University,https://govsalaries.com/salaries/VA/george-mason-university?year=2020,2020,8105,55329,55329
Department of Alcoholic Beverage Control,https://govsalaries.com/salaries/VA/department-of-alcoholic-beverage-control?year=2020,2020,7421,14241,14241
Chesterfield County Public Schools,https://govsalaries.com/salaries/VA/chesterfield-county-public-schools?year=2020,2020,7179,46834,46834
City of Virginia Beach,https://govsalaries.com/salaries/VA/city-of-virginia-beach?year=2020,2020,6931,47991,47991
Henrico County Public Schools,https://govsalaries.com/salaries/VA/henrico-county-public-schools?year=2020,2020,6496,48226,48226
Prince William County,https://govsalaries.com/salaries/VA/prince-william-county?year=2020,2020,6328,58248,58248
Newport News Public Schools,https://govsalaries.com/salaries/VA/newport-news-public-schools?year=2020,2020,5950,34547,34547
Chesapeake Public Schools,https://govsalaries.com/salaries/VA/chesapeake-public-schools?year=2020,2020,5826,46762,46762
Norfolk Public Schools,https://govsalaries.com/salaries/VA/norfolk-public-schools?year=2020,2020,5796,37861,37861
City of Chesapeake,https://govsalaries.com/salaries/VA/city-of-chesapeake?year=2020,2020,4668,41114,41114
Stafford County Public Schools,https://govsalaries.com/salaries/VA/stafford-county-public-schools?year=2020,2020,4467,45015,45015
City of Norfolk,https://govsalaries.com/salaries/VA/city-of-norfolk?year=2020,2020,4421,51788,51788
Northern Virginia Community College,https://govsalaries.com/salaries/VA/northern-virginia-community-college?year=2020,2020,4332,36173,36173
Loudoun County,https://govsalaries.com/salaries/VA/loudoun-county?year=2020,2020,4317,76725,76725
City of Richmond,https://govsalaries.com/salaries/VA/city-of-richmond?year=2020,2020,4140,56410,56410
Radford University,https://govsalaries.com/salaries/VA/radford-university?year=2020,2020,3990,25313,25313
Chesterfield County,https://govsalaries.com/salaries/VA/chesterfield-county?year=2020,2020,3832,45066,45066
Virginia Department of Health,https://govsalaries.com/salaries/VA/virginia-department-of-health?year=2020,2020,3819,50328,50328
Alexandria City Public Schools,https://govsalaries.com/salaries/VA/alexandria-city-public-schools?year=2020,2020,3771,49437,49437
Albemarle County Public Schools,https://govsalaries.com/salaries/VA/albemarle-county-public-schools?year=2020,2020,3618,48170,48170
Albemarle County,https://govsalaries.com/salaries/VA/albemarle-county?year=2020,2020,3615,48214,48214
Henrico County,https://govsalaries.com/salaries/VA/henrico-county?year=2020,2020,3568,58423,58423
Richmond Public Schools,https://govsalaries.com/salaries/VA/richmond-public-schools?year=2020,2020,3501,49343,49343
Christopher Newport University,https://govsalaries.com/salaries/VA/christopher-newport-university?year=2020,2020,3305,20779,20779
William &amp; Mary College,https://govsalaries.com/salaries/VA/william-mary-college?year=2020,2020,3303,61367,61367
City of Alexandria,https://govsalaries.com/salaries/VA/city-of-alexandria?year=2020,2020,3188,62861,62861
James Madison University,https://govsalaries.com/salaries/VA/james-madison-university?year=2020,2020,3116,64480,64480
City of Newport News,https://govsalaries.com/salaries/VA/city-of-newport-news?year=2020,2020,3068,54703,54703
Virginia State Police,https://govsalaries.com/salaries/VA/virginia-state-police?year=2020,2020,3050,62407,62407
Spotsylvania County Public Schools,https://govsalaries.com/salaries/VA/spotsylvania-county-public-schools?year=2020,2020,2929,48117,48117
Department of Motor Vehicles,https://govsalaries.com/salaries/VA/department-of-motor-vehicles?year=2020,2020,2831,36117,36117
Old Dominion University,https://govsalaries.com/salaries/VA/old-dominion-university?year=2020,2020,2765,66243,66243
Martinsville City Public Schools,https://govsalaries.com/salaries/VA/martinsville-city-public-schools?year=2020,2020,2601,1186,1186
Augusta County Public Schools,https://govsalaries.com/salaries/VA/augusta-county-public-schools?year=2020,2020,2402,27182,27182
Department of Corrections,https://govsalaries.com/salaries/VA/department-of-corrections?year=2020,2020,2309,40009,40009
Norfolk State University,https://govsalaries.com/salaries/VA/norfolk-state-university?year=2020,2020,2250,28040,28040
Tidewater Community College,https://govsalaries.com/salaries/VA/tidewater-community-college?year=2020,2020,2208,29633,29633
Henry County,https://govsalaries.com/salaries/VA/henry-county?year=2020,2020,2191,32150,32150
Roanoke County Public Schools,https://govsalaries.com/salaries/VA/roanoke-county-public-schools?year=2020,2020,2125,41374,41374
Rockingham County Public Schools,https://govsalaries.com/salaries/VA/rockingham-county-public-schools?year=2020,2020,2024,39570,39570
Suffolk Public Schools,https://govsalaries.com/salaries/VA/suffolk-public-schools?year=2020,2020,2023,45669,45669
Warren County Public Schools,https://govsalaries.com/salaries/VA/warren-county-public-schools?year=2020,2020,1984,17341,17341
Fauquier County Public Schools,https://govsalaries.com/salaries/VA/fauquier-county-public-schools?year=2020,2020,1956,44007,44007
University of Mary Washington,https://govsalaries.com/salaries/VA/university-of-mary-washington?year=2020,2020,1939,25206,25206
York County School Division,https://govsalaries.com/salaries/VA/york-county-school-division?year=2020,2020,1887,45115,45115
Department of Social Services,https://govsalaries.com/salaries/VA/department-of-social-services?year=2020,2020,1878,56307,56307
City of Hampton,https://govsalaries.com/salaries/VA/city-of-hampton?year=2020,2020,1847,54383,54383
Longwood University,https://govsalaries.com/salaries/VA/longwood-university?year=2020,2020,1845,28222,28222
City of Roanoke,https://govsalaries.com/salaries/VA/city-of-roanoke?year=2020,2020,1811,47210,47210
Franklin County Public Schools,https://govsalaries.com/salaries/VA/franklin-county-public-schools?year=2020,2020,1809,29443,29443
Williamsburg-James City County Public Schools,https://govsalaries.com/salaries/VA/williamsburg-james-city-county-public-schools?year=2020,2020,1801,44292,44292
Virginia Department of Military Affairs,https://govsalaries.com/salaries/VA/virginia-department-of-military-affairs?year=2020,2020,1782,11377,11377
City of Suffolk,https://govsalaries.com/salaries/VA/city-of-suffolk?year=2020,2020,1780,47411,47411
City of Portsmouth,https://govsalaries.com/salaries/VA/city-of-portsmouth?year=2020,2020,1728,50114,50114
Washington County Public Schools,https://govsalaries.com/salaries/VA/washington-county-public-schools?year=2020,2020,1721,26785,26785
Department of Juvenile Justice,https://govsalaries.com/salaries/VA/department-of-juvenile-justice?year=2020,2020,1697,47197,47197
Eastern Virginia Medical School,https://govsalaries.com/salaries/VA/eastern-virginia-medical-school?year=2020,2020,1645,83654,83654
Virginia Department of Transportation,https://govsalaries.com/salaries/VA/virginia-department-of-transportation?year=2020,2020,1633,74618,74618
Montgomery County Public Schools,https://govsalaries.com/salaries/VA/montgomery-county-public-schools?year=2020,2020,1618,42673,42673
Campbell County Public Schools,https://govsalaries.com/salaries/VA/campbell-county-public-schools?year=2020,2020,1590,31010,31010
Lynchburg City Schools,https://govsalaries.com/salaries/VA/lynchburg-city-schools?year=2020,2020,1564,38574,38574
Virginia State University,https://govsalaries.com/salaries/VA/virginia-state-university?year=2020,2020,1554,30988,30988
City of Charlottesville,https://govsalaries.com/salaries/VA/city-of-charlottesville?year=2020,2020,1545,37892,37892
City of Lynchburg,https://govsalaries.com/salaries/VA/city-of-lynchburg?year=2020,2020,1538,45079,45079
Pittsylvania County Schools,https://govsalaries.com/salaries/VA/pittsylvania-county-schools?year=2020,2020,1503,34469,34469
Caroline County Public Schools,https://govsalaries.com/salaries/VA/caroline-county-public-schools?year=2020,2020,1480,17371,17371
Department of Conservation and Recreation,https://govsalaries.com/salaries/VA/department-of-conservation-and-recreation?year=2020,2020,1445,22124,22124
Manassas City Public Schools,https://govsalaries.com/salaries/VA/manassas-city-public-schools?year=2020,2020,1424,47438,47438
Virginia Employment Commission,https://govsalaries.com/salaries/VA/virginia-employment-commission?year=2020,2020,1319,35574,35574
Arlington County,https://govsalaries.com/salaries/VA/arlington-county?year=2020,2020,1274,105937,105937
Roanoke County,https://govsalaries.com/salaries/VA/roanoke-county?year=2020,2020,1170,48942,48942
Hanover County,https://govsalaries.com/salaries/VA/hanover-county?year=2020,2020,1149,55780,55780
J. Sargeant Reynolds Community College,https://govsalaries.com/salaries/VA/j-sargeant-reynolds-community-college?year=2020,2020,1143,25938,25938
James City County,https://govsalaries.com/salaries/VA/james-city-county?year=2020,2020,1134,36947,36947
Stafford County,https://govsalaries.com/salaries/VA/stafford-county?year=2020,2020,1111,66010,66010
Greensville Correctional Center,https://govsalaries.com/salaries/VA/greensville-correctional-center?year=2020,2020,1110,32832,32832
Spotsylvania County,https://govsalaries.com/salaries/VA/spotsylvania-county?year=2020,2020,1107,60526,60526
Central State Hospital,https://govsalaries.com/salaries/VA/central-state-hospital?year=2020,2020,1098,41779,41779
Botetourt County Public Schools,https://govsalaries.com/salaries/VA/botetourt-county-public-schools?year=2020,2020,1069,31629,31629
Northampton County Public Schools,https://govsalaries.com/salaries/VA/northampton-county-public-schools?year=2020,2020,1054,11068,11068
Shenandoah County Public Schools,https://govsalaries.com/salaries/VA/shenandoah-county-public-schools?year=2020,2020,1051,41202,41202
City of Harrisonburg,https://govsalaries.com/salaries/VA/city-of-harrisonburg?year=2020,2020,1006,37207,37207
Department For Aging and Rehabilitative Services,https://govsalaries.com/salaries/VA/department-for-aging-and-rehabilitative-services?year=2020,2020,998,50430,50430
Amherst County Public Schools,https://govsalaries.com/salaries/VA/amherst-county-public-schools?year=2020,2020,998,30029,30029
Eastern State Hospital,https://govsalaries.com/salaries/VA/eastern-state-hospital?year=2020,2020,985,42011,42011
John Tyler Community College,https://govsalaries.com/salaries/VA/john-tyler-community-college?year=2020,2020,984,24569,24569
Southeastern Cooperative Education Programs,https://govsalaries.com/salaries/VA/southeastern-cooperative-education-programs?year=2020,2020,960,32830,32830
Virginia Department of Transportation at Salem District,https://govsalaries.com/salaries/VA/virginia-department-of-transportation-at-salem-district?year=2020,2020,957,46507,46507
Harrisonburg City Public Schools,https://govsalaries.com/salaries/VA/harrisonburg-city-public-schools?year=2020,2020,952,46050,46050
Virginia Department of Transportation at Suffolk District,https://govsalaries.com/salaries/VA/virginia-department-of-transportation-at-suffolk-district?year=2020,2020,951,52686,52686
Hampton Roads Sanitation District Commission,https://govsalaries.com/salaries/VA/hampton-roads-sanitation-district-commission?year=2020,2020,945,64880,64880
Virginia Department of Transportation at Richmond District,https://govsalaries.com/salaries/VA/virginia-department-of-transportation-at-richmond-district?year=2020,2020,931,52013,52013
Western State Hospital,https://govsalaries.com/salaries/VA/western-state-hospital?year=2020,2020,928,42499,42499
Virginia Department of Taxation,https://govsalaries.com/salaries/VA/virginia-department-of-taxation?year=2020,2020,928,53270,53270
Prince George County Public Schools,https://govsalaries.com/salaries/VA/prince-george-county-public-schools?year=2020,2020,915,42982,42982
Isle of Wight County Schools,https://govsalaries.com/salaries/VA/isle-of-wight-county-schools?year=2020,2020,903,40066,40066
Orange County Public Schools,https://govsalaries.com/salaries/VA/orange-county-public-schools?year=2020,2020,885,35606,35606
Thomas Nelson Community College,https://govsalaries.com/salaries/VA/thomas-nelson-community-college?year=2020,2020,867,26946,26946
Virginia Department of Transportation at Northern Virginia District,https://govsalaries.com/salaries/VA/virginia-department-of-transportation-at-northern-virginia-district?year=2020,2020,866,71132,71132
King George County Schools,https://govsalaries.com/salaries/VA/king-george-county-schools?year=2020,2020,861,33989,33989
Franklin County,https://govsalaries.com/salaries/VA/franklin-county?year=2020,2020,858,23122,23122
Gloucester County Public Schools,https://govsalaries.com/salaries/VA/gloucester-county-public-schools?year=2020,2020,853,44019,44019
Powhatan County Public Schools,https://govsalaries.com/salaries/VA/powhatan-county-public-schools?year=2020,2020,853,34243,34243
Fauquier County,https://govsalaries.com/salaries/VA/fauquier-county?year=2020,2020,851,55620,55620
Virginia House of Delegates,https://govsalaries.com/salaries/VA/virginia-house-of-delegates?year=2020,2020,841,21899,21899
Virginia Division of Institutions,https://govsalaries.com/salaries/VA/virginia-division-of-institutions?year=2020,2020,839,40121,40121
Department of Environmental Quality,https://govsalaries.com/salaries/VA/department-of-environmental-quality?year=2020,2020,836,64718,64718
Bedford County,https://govsalaries.com/salaries/VA/bedford-county?year=2020,2020,832,32576,32576
State Farm Correctional Complex,https://govsalaries.com/salaries/VA/state-farm-correctional-complex?year=2020,2020,821,31620,31620
Winchester Public Schools,https://govsalaries.com/salaries/VA/winchester-public-schools?year=2020,2020,804,45302,45302
Grayson County Public Schools,https://govsalaries.com/salaries/VA/grayson-county-public-schools?year=2020,2020,801,14123,14123
City of Winchester,https://govsalaries.com/salaries/VA/city-of-winchester?year=2020,2020,801,39012,39012
Germanna Community College,https://govsalaries.com/salaries/VA/germanna-community-college?year=2020,2020,784,27667,27667
York County,https://govsalaries.com/salaries/VA/york-county?year=2020,2020,781,53688,53688
Scott County Public Schools,https://govsalaries.com/salaries/VA/scott-county-public-schools?year=2020,2020,778,39591,39591
Carroll County Public Schools,https://govsalaries.com/salaries/VA/carroll-county-public-schools?year=2020,2020,774,34162,34162
Virginia Western Community College,https://govsalaries.com/salaries/VA/virginia-western-community-college?year=2020,2020,769,25017,25017
Virginia Department of Transportation at Staunton District,https://govsalaries.com/salaries/VA/virginia-department-of-transportation-at-staunton-district?year=2020,2020,765,46655,46655
Lord Fairfax Community College,https://govsalaries.com/salaries/VA/lord-fairfax-community-college?year=2020,2020,751,25329,25329
City of Fairfax,https://govsalaries.com/salaries/VA/city-of-fairfax?year=2020,2020,745,47326,47326
City of Fredericksburg,https://govsalaries.com/salaries/VA/city-of-fredericksburg?year=2020,2020,732,44007,44007
Piedmont Virginia Community College,https://govsalaries.com/salaries/VA/piedmont-virginia-community-college?year=2020,2020,731,21766,21766
Bristol Virginia Public Schools,https://govsalaries.com/salaries/VA/bristol-virginia-public-schools?year=2020,2020,729,21449,21449
Virginia Center for Behavioral Rehabilitation,https://govsalaries.com/salaries/VA/virginia-center-for-behavioral-rehabilitation?year=2020,2020,715,31609,31609
Southwestern Virginia Mental Health Institute,https://govsalaries.com/salaries/VA/southwestern-virginia-mental-health-institute?year=2020,2020,712,38606,38606
State Corporation Commission,https://govsalaries.com/salaries/VA/state-corporation-commission?year=2020,2020,706,71865,71865
Frederick County,https://govsalaries.com/salaries/VA/frederick-county?year=2020,2020,706,57155,57155
Virginia Museum of Fine Arts,https://govsalaries.com/salaries/VA/virginia-museum-of-fine-arts?year=2020,2020,702,24454,24454
Virginia Department of Transportation at Bristol Office,https://govsalaries.com/salaries/VA/virginia-department-of-transportation-at-bristol-office?year=2020,2020,697,50564,50564
Wythe County Public Schools,https://govsalaries.com/salaries/VA/wythe-county-public-schools?year=2020,2020,692,38438,38438
Department of General Services,https://govsalaries.com/salaries/VA/department-of-general-services?year=2020,2020,688,56550,56550
Russell County Schools,https://govsalaries.com/salaries/VA/russell-county-schools?year=2020,2020,687,33802,33802
Department of Forestry,https://govsalaries.com/salaries/VA/department-of-forestry?year=2020,2020,682,18529,18529
Richmond County Public Schools,https://govsalaries.com/salaries/VA/richmond-county-public-schools?year=2020,2020,669,12507,12507
Department of Medical Assistance Services,https://govsalaries.com/salaries/VA/department-of-medical-assistance-services?year=2020,2020,662,65020,65020
Department of Agriculture and Consumer Services,https://govsalaries.com/salaries/VA/department-of-agriculture-and-consumer-services?year=2020,2020,659,42012,42012
Virginia Department of Transportation at Lynchburg District,https://govsalaries.com/salaries/VA/virginia-department-of-transportation-at-lynchburg-district?year=2020,2020,658,48138,48138
Page County Public Schools,https://govsalaries.com/salaries/VA/page-county-public-schools?year=2020,2020,652,31371,31371
Rockingham County,https://govsalaries.com/salaries/VA/rockingham-county?year=2020,2020,649,46908,46908
Town of Blacksburg,https://govsalaries.com/salaries/VA/town-of-blacksburg?year=2020,2020,622,29533,29533
Petersburg City Public Schools,https://govsalaries.com/salaries/VA/petersburg-city-public-schools?year=2020,2020,615,46293,46293
Staunton City Schools,https://govsalaries.com/salaries/VA/staunton-city-schools?year=2020,2020,608,33996,33996
Dinwiddie County Public Schools,https://govsalaries.com/salaries/VA/dinwiddie-county-public-schools?year=2020,2020,607,45036,45036
Virginia Military Institute,https://govsalaries.com/salaries/VA/virginia-military-institute?year=2020,2020,604,56308,56308
Southampton County Public Schools,https://govsalaries.com/salaries/VA/southampton-county-public-schools?year=2020,2020,599,27619,27619
Nottoway Correctional Center,https://govsalaries.com/salaries/VA/nottoway-correctional-center?year=2020,2020,594,33298,33298
Louisa County,https://govsalaries.com/salaries/VA/louisa-county?year=2020,2020,591,23096,23096
City of Manassas,https://govsalaries.com/salaries/VA/city-of-manassas?year=2020,2020,585,62719,62719
Montgomery County,https://govsalaries.com/salaries/VA/montgomery-county?year=2020,2020,583,38436,38436
Virginia Department of Transportation at Fredericksburg District,https://govsalaries.com/salaries/VA/virginia-department-of-transportation-at-fredericksburg-district?year=2020,2020,574,52895,52895
Department of Behavioral Health and Developmental Services,https://govsalaries.com/salaries/VA/department-of-behavioral-health-and-developmental-services?year=2020,2020,569,66686,66686
City of Petersburg,https://govsalaries.com/salaries/VA/city-of-petersburg?year=2020,2020,558,48191,48191
Red Onion State Prison,https://govsalaries.com/salaries/VA/red-onion-state-prison?year=2020,2020,549,34851,34851
Augusta County,https://govsalaries.com/salaries/VA/augusta-county?year=2020,2020,547,37785,37785
Town of Christiansburg,https://govsalaries.com/salaries/VA/town-of-christiansburg?year=2020,2020,545,36534,36534
Southwest Virginia Regional Jail Authority,https://govsalaries.com/salaries/VA/southwest-virginia-regional-jail-authority?year=2020,2020,543,30883,30883
Falls Church City Public Schools,https://govsalaries.com/salaries/VA/falls-church-city-public-schools?year=2020,2020,541,61582,61582
Virginia Department of Transportation at Culpeper District,https://govsalaries.com/salaries/VA/virginia-department-of-transportation-at-culpeper-district?year=2020,2020,536,53191,53191
City of Salem,https://govsalaries.com/salaries/VA/city-of-salem?year=2020,2020,536,49373,49373
Fluvanna Correctional Center for Women,https://govsalaries.com/salaries/VA/fluvanna-correctional-center-for-women?year=2020,2020,527,36169,36169
Wallens Ridge State Prison,https://govsalaries.com/salaries/VA/wallens-ridge-state-prison?year=2020,2020,517,36980,36980
Waynesboro Public Schools,https://govsalaries.com/salaries/VA/waynesboro-public-schools?year=2020,2020,514,41845,41845
King George County,https://govsalaries.com/salaries/VA/king-george-county?year=2020,2020,513,29628,29628
Dinwiddie County,https://govsalaries.com/salaries/VA/dinwiddie-county?year=2020,2020,513,25473,25473
Haynesville Correctional Center,https://govsalaries.com/salaries/VA/haynesville-correctional-center?year=2020,2020,504,34760,34760
Virginia Correctional Center for Women,https://govsalaries.com/salaries/VA/virginia-correctional-center-for-women?year=2020,2020,500,28754,28754
Central Virginia Community College,https://govsalaries.com/salaries/VA/central-virginia-community-college?year=2020,2020,500,25066,25066
Department of Game and Inland Fisheries,https://govsalaries.com/salaries/VA/department-of-game-and-inland-fisheries?year=2020,2020,500,52936,52936
Blue Ridge Community College,https://govsalaries.com/salaries/VA/blue-ridge-community-college?year=2020,2020,495,27017,27017
Piedmont Geriatric Hospital,https://govsalaries.com/salaries/VA/piedmont-geriatric-hospital?year=2020,2020,494,35382,35382
Nelson County Public Schools,https://govsalaries.com/salaries/VA/nelson-county-public-schools?year=2020,2020,491,26316,26316
Southwest Virginia Community College,https://govsalaries.com/salaries/VA/southwest-virginia-community-college?year=2020,2020,490,21433,21433
Buckingham Correctional Center,https://govsalaries.com/salaries/VA/buckingham-correctional-center?year=2020,2020,489,33339,33339
Sussex I State Prison,https://govsalaries.com/salaries/VA/sussex-i-state-prison?year=2020,2020,488,31127,31127
Deerfield Correctional Center,https://govsalaries.com/salaries/VA/deerfield-correctional-center?year=2020,2020,488,36641,36641
Senate of Virginia,https://govsalaries.com/salaries/VA/senate-of-virginia?year=2020,2020,488,23988,23988
Northern Virginia Mental Health Institute,https://govsalaries.com/salaries/VA/northern-virginia-mental-health-institute?year=2020,2020,470,55876,55876
Campbell County,https://govsalaries.com/salaries/VA/campbell-county?year=2020,2020,470,39907,39907
Patrick Henry Community College,https://govsalaries.com/salaries/VA/patrick-henry-community-college?year=2020,2020,467,28176,28176
City of Colonial Heights,https://govsalaries.com/salaries/VA/city-of-colonial-heights?year=2020,2020,460,33587,33587
New Kent County Public Schools,https://govsalaries.com/salaries/VA/new-kent-county-public-schools?year=2020,2020,459,43436,43436
City of Waynesboro,https://govsalaries.com/salaries/VA/city-of-waynesboro?year=2020,2020,447,37731,37731
Virginia Veterans Care Center,https://govsalaries.com/salaries/VA/virginia-veterans-care-center?year=2020,2020,444,26084,26084
Virginia Retirement System,https://govsalaries.com/salaries/VA/virginia-retirement-system?year=2020,2020,436,88288,88288
Rockbridge County,https://govsalaries.com/salaries/VA/rockbridge-county?year=2020,2020,436,20995,20995
Office of Attorney General,https://govsalaries.com/salaries/VA/office-of-attorney-general?year=2020,2020,433,71376,71376
Rockbridge County Public Schools,https://govsalaries.com/salaries/VA/rockbridge-county-public-schools?year=2020,2020,431,43933,43933
Culpeper County,https://govsalaries.com/salaries/VA/culpeper-county?year=2020,2020,429,21609,21609
Sussex II State Prison,https://govsalaries.com/salaries/VA/sussex-ii-state-prison?year=2020,2020,426,34090,34090
Catawba Hospital,https://govsalaries.com/salaries/VA/catawba-hospital?year=2020,2020,424,37461,37461
Poquoson City Public Schools,https://govsalaries.com/salaries/VA/poquoson-city-public-schools?year=2020,2020,423,31484,31484
Pulaski County,https://govsalaries.com/salaries/VA/pulaski-county?year=2020,2020,422,27872,27872
Dillwyn Correctional Center,https://govsalaries.com/salaries/VA/dillwyn-correctional-center?year=2020,2020,422,36440,36440
Augusta Correctional Center,https://govsalaries.com/salaries/VA/augusta-correctional-center?year=2020,2020,421,35323,35323
Sitter and Barfoot Veterans Care Center,https://govsalaries.com/salaries/VA/sitter-and-barfoot-veterans-care-center?year=2020,2020,420,38634,38634
Grayson County Correctional Center,https://govsalaries.com/salaries/VA/grayson-county-correctional-center?year=2020,2020,419,34363,34363
Rappahannock Community College,https://govsalaries.com/salaries/VA/rappahannock-community-college?year=2020,2020,415,22810,22810
Southside Virginia Community College,https://govsalaries.com/salaries/VA/southside-virginia-community-college?year=2020,2020,415,25590,25590
Caroline County,https://govsalaries.com/salaries/VA/caroline-county?year=2020,2020,414,37997,37997
Shenandoah County,https://govsalaries.com/salaries/VA/shenandoah-county?year=2020,2020,414,34714,34714
Southeastern Virginia Training Center,https://govsalaries.com/salaries/VA/southeastern-virginia-training-center?year=2020,2020,412,32543,32543
Department of Education,https://govsalaries.com/salaries/VA/department-of-education?year=2020,2020,412,64784,64784
Isle of Wight County,https://govsalaries.com/salaries/VA/isle-of-wight-county?year=2020,2020,397,36950,36950
Keen Mountain Correctional Center,https://govsalaries.com/salaries/VA/keen-mountain-correctional-center?year=2020,2020,393,33152,33152
Jamestown-Yorktown Foundation,https://govsalaries.com/salaries/VA/jamestown-yorktown-foundation?year=2020,2020,391,20573,20573
Floyd County Public Schools,https://govsalaries.com/salaries/VA/floyd-county-public-schools?year=2020,2020,391,2824,2824
New River Community College,https://govsalaries.com/salaries/VA/new-river-community-college?year=2020,2020,390,29576,29576
Appomattox County Public Schools,https://govsalaries.com/salaries/VA/appomattox-county-public-schools?year=2020,2020,390,33158,33158
Virginia Highlands Community College,https://govsalaries.com/salaries/VA/virginia-highlands-community-college?year=2020,2020,385,21297,21297
Department of Fire Programs,https://govsalaries.com/salaries/VA/department-of-fire-programs?year=2020,2020,381,13605,13605
Department of Human Resource Management,https://govsalaries.com/salaries/VA/department-of-human-resource-management?year=2020,2020,380,44613,44613
Department of Forensic Science,https://govsalaries.com/salaries/VA/department-of-forensic-science?year=2020,2020,376,66935,66935
City of Manassas Park,https://govsalaries.com/salaries/VA/city-of-manassas-park?year=2020,2020,373,32847,32847
City of Hopewell,https://govsalaries.com/salaries/VA/city-of-hopewell?year=2020,2020,369,54592,54592
Green Rock Correctional Center,https://govsalaries.com/salaries/VA/green-rock-correctional-center?year=2020,2020,369,34557,34557
Lunenburg Correctional Center,https://govsalaries.com/salaries/VA/lunenburg-correctional-center?year=2020,2020,367,32149,32149
Mountain Empire Community College,https://govsalaries.com/salaries/VA/mountain-empire-community-college?year=2020,2020,366,24931,24931
City of Staunton,https://govsalaries.com/salaries/VA/city-of-staunton?year=2020,2020,362,48836,48836
City of Radford,https://govsalaries.com/salaries/VA/city-of-radford?year=2020,2020,356,37047,37047
Virginia Department For The Blind and Vision Impaired,https://govsalaries.com/salaries/VA/virginia-department-for-the-blind-and-vision-impaired?year=2020,2020,356,39328,39328
Danville Community College,https://govsalaries.com/salaries/VA/danville-community-college?year=2020,2020,355,25413,25413
Coffeewood Correctional Center,https://govsalaries.com/salaries/VA/coffeewood-correctional-center?year=2020,2020,354,36110,36110
St. Brides Correctional Center,https://govsalaries.com/salaries/VA/st-brides-correctional-center?year=2020,2020,354,33668,33668
Virginia Lottery,https://govsalaries.com/salaries/VA/virginia-lottery?year=2020,2020,354,70644,70644
Pocahontas State Correctional Center,https://govsalaries.com/salaries/VA/pocahontas-state-correctional-center?year=2020,2020,349,33897,33897
Department of Health Professions,https://govsalaries.com/salaries/VA/department-of-health-professions?year=2020,2020,347,53768,53768
School District of Prince Edward County,https://govsalaries.com/salaries/VA/school-district-of-prince-edward-county?year=2020,2020,345,39205,39205
Prince William County Service Authority,https://govsalaries.com/salaries/VA/prince-william-county-service-authority?year=2020,2020,342,79245,79245
Gloucester County,https://govsalaries.com/salaries/VA/gloucester-county?year=2020,2020,341,50081,50081
Pittsylvania County,https://govsalaries.com/salaries/VA/pittsylvania-county?year=2020,2020,337,42748,42748
Nottoway County Public Schools,https://govsalaries.com/salaries/VA/nottoway-county-public-schools?year=2020,2020,334,38562,38562
Loudoun Water,https://govsalaries.com/salaries/VA/loudoun-water?year=2020,2020,332,81287,81287
Bland Correctional Center,https://govsalaries.com/salaries/VA/bland-correctional-center?year=2020,2020,330,34381,34381
University of Virginia's College at Wise,https://govsalaries.com/salaries/VA/university-of-virginia-s-college-at-wise?year=2020,2020,329,52422,52422
City of Martinsville,https://govsalaries.com/salaries/VA/city-of-martinsville?year=2020,2020,324,45569,45569
Brunswick County Public Schools,https://govsalaries.com/salaries/VA/brunswick-county-public-schools?year=2020,2020,320,36083,36083
Wise County,https://govsalaries.com/salaries/VA/wise-county?year=2020,2020,317,34520,34520
Rappahannock Regional Jail Authority,https://govsalaries.com/salaries/VA/rappahannock-regional-jail-authority?year=2020,2020,316,50414,50414
Town of Wytheville,https://govsalaries.com/salaries/VA/town-of-wytheville?year=2020,2020,316,22473,22473
Western Virginia Water Authority,https://govsalaries.com/salaries/VA/western-virginia-water-authority?year=2020,2020,311,45081,45081
Wytheville Community College,https://govsalaries.com/salaries/VA/wytheville-community-college?year=2020,2020,306,24715,24715
Grayson County,https://govsalaries.com/salaries/VA/grayson-county?year=2020,2020,306,19043,19043
Prince George County,https://govsalaries.com/salaries/VA/prince-george-county?year=2020,2020,302,50541,50541
