name,link,year,employees,avg,median
Washington County,https://govsalaries.com/salaries/VA/washington-county?year=2020,2020,142,21407,21407
Virginia Cooperative Extension,https://govsalaries.com/salaries/VA/virginia-cooperative-extension?year=2020,2020,141,44779,44779
Department of Housing and Community Development,https://govsalaries.com/salaries/VA/department-of-housing-and-community-development?year=2020,2020,140,52668,52668
Science Museum of Virginia,https://govsalaries.com/salaries/VA/science-museum-of-virginia?year=2020,2020,139,26801,26801
Virginia College Savings Plan,https://govsalaries.com/salaries/VA/virginia-college-savings-plan?year=2020,2020,138,81336,81336
Auditor of Public Accounts,https://govsalaries.com/salaries/VA/auditor-of-public-accounts?year=2020,2020,136,64500,64500
City of Buena Vista,https://govsalaries.com/salaries/VA/city-of-buena-vista?year=2020,2020,134,28350,28350
Town of Tazewell,https://govsalaries.com/salaries/VA/town-of-tazewell?year=2020,2020,132,25086,25086
Northern Neck Regional Jail,https://govsalaries.com/salaries/VA/northern-neck-regional-jail?year=2020,2020,131,35199,35199
Southampton County,https://govsalaries.com/salaries/VA/southampton-county?year=2020,2020,129,47240,47240
Newport News Redevelopment and Housing Authority,https://govsalaries.com/salaries/VA/newport-news-redevelopment-and-housing-authority?year=2020,2020,129,36840,36840
City of Lexington,https://govsalaries.com/salaries/VA/city-of-lexington?year=2020,2020,128,42603,42603
Westmoreland County,https://govsalaries.com/salaries/VA/westmoreland-county?year=2020,2020,127,47177,47177
Amelia County,https://govsalaries.com/salaries/VA/amelia-county?year=2020,2020,124,34926,34926
Town of Farmville,https://govsalaries.com/salaries/VA/town-of-farmville?year=2020,2020,124,48656,48656
Town of Big Stone Gap,https://govsalaries.com/salaries/VA/town-of-big-stone-gap?year=2020,2020,124,20349,20349
Department of Treasury,https://govsalaries.com/salaries/VA/department-of-treasury?year=2020,2020,122,67321,67321
King and Queen County,https://govsalaries.com/salaries/VA/king-and-queen-county?year=2020,2020,121,22870,22870
Town of Woodstock,https://govsalaries.com/salaries/VA/town-of-woodstock?year=2020,2020,121,27234,27234
Town of Bedford,https://govsalaries.com/salaries/VA/town-of-bedford?year=2020,2020,119,43259,43259
Virginia's Community Colleges Shared Services Center,https://govsalaries.com/salaries/VA/virginia-s-community-colleges-shared-services-center?year=2020,2020,115,44909,44909
Lexington City Schools,https://govsalaries.com/salaries/VA/lexington-city-schools?year=2020,2020,114,30634,30634
Town of South Boston,https://govsalaries.com/salaries/VA/town-of-south-boston?year=2020,2020,112,34309,34309
Greene County,https://govsalaries.com/salaries/VA/greene-county?year=2020,2020,111,49447,49447
West Point Public Schools,https://govsalaries.com/salaries/VA/west-point-public-schools?year=2020,2020,111,51447,51447
City of Emporia,https://govsalaries.com/salaries/VA/city-of-emporia?year=2020,2020,110,44148,44148
Pamunkey Regional Jail,https://govsalaries.com/salaries/VA/pamunkey-regional-jail?year=2020,2020,109,52423,52423
Potomac and Rappahannock Transportation District,https://govsalaries.com/salaries/VA/potomac-and-rappahannock-transportation-district?year=2020,2020,108,83840,83840
Craig County,https://govsalaries.com/salaries/VA/craig-county?year=2020,2020,104,19308,19308
Peninsula Airport Commission,https://govsalaries.com/salaries/VA/peninsula-airport-commission?year=2020,2020,103,28687,28687
Division of Legislative Services,https://govsalaries.com/salaries/VA/division-of-legislative-services?year=2020,2020,99,61265,61265
Town of Blackstone,https://govsalaries.com/salaries/VA/town-of-blackstone?year=2020,2020,95,29436,29436
Appomattox County,https://govsalaries.com/salaries/VA/appomattox-county?year=2020,2020,94,38985,38985
Town of Altavista,https://govsalaries.com/salaries/VA/town-of-altavista?year=2020,2020,91,30583,30583
Madison County,https://govsalaries.com/salaries/VA/madison-county?year=2020,2020,90,33889,33889
Washington County Service Authority,https://govsalaries.com/salaries/VA/washington-county-service-authority?year=2020,2020,90,48726,48726
Frederick County Sanitation Authority,https://govsalaries.com/salaries/VA/frederick-county-sanitation-authority?year=2020,2020,87,49895,49895
Albemarle County Service Authority,https://govsalaries.com/salaries/VA/albemarle-county-service-authority?year=2020,2020,86,56384,56384
Bland County,https://govsalaries.com/salaries/VA/bland-county?year=2020,2020,85,29589,29589
Town of Smithfield,https://govsalaries.com/salaries/VA/town-of-smithfield?year=2020,2020,84,43908,43908
Town of Vinton,https://govsalaries.com/salaries/VA/town-of-vinton?year=2020,2020,83,40775,40775
Virginia Tourism Authority,https://govsalaries.com/salaries/VA/virginia-tourism-authority?year=2020,2020,82,65660,65660
Commercial Space Flight Authority,https://govsalaries.com/salaries/VA/commercial-space-flight-authority?year=2020,2020,82,87072,87072
